Year,STATE_NAME,COUNTY_NAME,STATE_ID,COUNTY_ID,Per_Capita_Exp_ESRD,Avg_Risk_Score_ESRD,Person_Years_ESRD,Per_Capita_Exp_DIS,Avg_Risk_Score_DIS,Person_Years_DIS,Per_Capita_Exp_AGDU,Avg_Risk_Score_AGDU,Person_Years_AGDU,Per_Capita_Exp_AGND,Avg_Risk_Score_AGND,Person_Years_AGND
2016,Alabama,Autauga,1,0,73035.65,0.97308,51.83,7856.41,0.86959,876.92,12754.67,0.96315,211.5,8570.56,0.99674,4127.17
2016,Alabama,Baldwin,1,10,73213.71,0.96865,140.08,8363.86,0.91329,3006.25,14566.39,0.98162,702.08,8323.68,0.96519,20918.08
2016,Alabama,Barbour,1,20,70120.03,0.96294,77.5,7840.84,0.89882,928.92,11250.12,0.90068,542.67,8739.52,1.00232,2445.17
2016,Alabama,Bibb,1,30,88712.27,1.01826,28.17,7519.14,0.8808,626.5,14174.98,1.02704,215.58,8485.29,0.9883,1462.92
2016,Alabama,Blount,1,40,60631.31,0.9738,25.5,7563.59,0.89303,1033.5,16400.58,1.02035,380.17,9015.34,1.01575,4215.25
2016,Alabama,Bullock,1,50,65015.89,0.91115,19.42,5815.12,0.75138,276.42,14504.77,0.95075,189.75,7997.83,0.96537,556.08
2016,Alabama,Butler,1,60,59724.7,0.97857,43.42,8014.43,0.89794,764,14458.49,0.90049,422.58,8923,1.04994,1878.17
2016,Alabama,Calhoun,1,70,74364.1,1.00681,178.42,8899.46,0.93085,3993.83,14401.48,0.99769,1214.17,8837.65,1.03469,12334.08
2016,Alabama,Chambers,1,80,65131.41,0.93574,72.17,7120.38,0.91748,1514.17,10607.62,0.95929,655.17,7719.29,1.03692,3478
2016,Alabama,Cherokee,1,90,61377.98,0.92974,46.67,7666.77,0.91842,1030.83,14237.89,0.94678,355.42,9157.94,1.04097,2752.08
2016,Alabama,Chilton,1,100,69609.95,0.93668,40,8914.05,0.92098,698.08,15839.41,1.02874,270.83,8893.39,1.01878,2774.75
2016,Alabama,Choctaw,1,110,70424.63,0.97339,32.58,7389.24,0.73507,744.17,12689.07,0.82601,388.75,9116.44,0.97368,1746.58
