Year,State_Name,County_Name,State_ID,County_ID,Per_Capita_Exp_ESRD,Avg_Risk_Score_ESRD,Person_Years_ESRD,Per_Capita_Exp_DIS,Avg_Risk_Score_DIS,Person_Years_DIS,Per_Capita_Exp_AGDU,Avg_Risk_Score_AGDU,Person_Years_AGDU,Per_Capita_Exp_AGND,Avg_Risk_Score_AGND,Person_Years_AGND
2021,Alabama,Autauga,01,000,65037.23,0.96432,33.58,8366.2,0.91364,498.33,20447.27,0.91945,102.67,9951.78,1.02646,2882.17
2021,Alabama,Baldwin,01,010,76910.44,0.99813,101.42,9461.95,0.90255,1709.25,19981.29,0.95975,464.33,10301.61,1.0003,18171.75
2021,Alabama,Barbour,01,020,69351.79,0.95766,40.67,11938.99,0.98527,337.58,15417.49,0.91376,194.25,9569,0.98952,1461.42
2021,Alabama,Bibb,01,030,103539.35,1.11953,18.58,8945.96,0.86691,302.92,15326.91,0.97027,145.83,10055.76,1.08619,941
2021,Alabama,Blount,01,040,69621.7,0.97782,20.75,9324.11,0.89179,501.75,15045.31,0.89998,190.67,10549.07,1.07827,2837.42
2021,Alabama,Bullock,01,050,90720.44,0.87508,17.58,7808.53,0.85856,102.75,15019.14,0.74807,91.75,9795.63,0.97727,300.33
2021,Alabama,Butler,01,060,73970.85,1.03778,26.42,9437.17,0.89354,353.58,15623.61,0.91883,225.5,10389.5,1.0897,1226.5
2021,Alabama,Calhoun,01,070,73760.23,0.99752,112.58,9537.78,0.88991,2001.08,15577.53,0.96292,613.17,10483.16,1.10635,8816.67
2021,Alabama,Chambers,01,080,65474.79,0.93337,51.92,8745.7,0.89381,651.58,13958.53,0.9028,322,10067.45,1.10058,2024.92
2021,Alabama,Cherokee,01,090,84080.27,1.13345,33.92,8763.02,0.86598,586.67,14286.57,0.92636,262.33,10081.48,1.06214,2152.67
2021,Alabama,Chilton,01,100,64479.14,0.96783,23.33,10561.84,0.9866,378.75,14287.23,0.99465,128.92,12029.29,1.01423,1795.25
2021,Alabama,Choctaw,01,110,68226.82,0.9795,22.33,9519.68,0.83528,386.67,16568.3,0.93518,240,10941.21,1.01788,1207.58
2021,Alabama,Clarke,01,120,65240.87,0.97063,25.83,8537.49,0.8695,376.25,13893.5,0.87849,151.83,10566.06,1.04973,1356.5
2021,Alabama,Clay,01,130,50452.21,0.81254,10.42,9662.23,0.78506,217.33,14769.77,0.82927,152.75,8698.75,0.94932,1007.58
2021,Alabama,Cleburne,01,140,112356.22,0.97091,10.92,8608.99,0.85747,280.58,15770.54,0.93224,148.67,9939.73,1.04675,1227
2021,Alabama,Coffee,01,150,69459.7,0.97938,35.92,9234.83,0.9309,658.5,13304.09,0.98913,322.33,9626.66,1.0708,4041.42
2021,Alabama,Colbert,01,160,85917.65,0.99345,42.17,10285.13,0.99428,892.17,15326.43,0.94774,371.83,10183.08,1.03065,4784.75
2021,Alabama,Conecuh,01,170,84435.33,0.93189,17.08,7001.91,0.73729,383.67,13819.4,0.82069,208.83,10826.4,1.00218,916.42
2021,Alabama,Coosa,01,180,102070.83,0.99987,10.92,7449.7,0.7523,161.83,14149.94,0.9408,53.58,11372.96,1.10129,701.92
2021,Alabama,Covington,01,190,94626.71,1.09434,31.25,11724.59,0.95871,699,15872.46,0.95141,485.58,9979.49,1.08206,3270.17
2021,Alabama,Crenshaw,01,200,74501.66,0.7805,13.42,10526.26,0.77363,182.25,18195.07,0.99322,130.25,9515.35,1.06223,739.67
