,State FIPS Code,County FIPS Code,5-digit FIPS Code,State Abbreviation,COUNTY_NAME,Premature death,Poor or fair health,Poor physical health days,Poor mental health days,Low birthweight,Adult smoking,Adult obesity,Food environment index,Physical inactivity,Access to exercise opportunities,Excessive drinking,Alcohol-impaired driving deaths,Sexually transmitted infections,Teen births,Uninsured,Primary care physicians,Dentists,Mental health providers,Preventable hospital stays,Diabetes monitoring,Mammography screening,High school graduation,Some colleg,Unemployment,Children in poverty,Income inequality,Children in single-parent households,Social associations,Violent crim,Injury deaths,Air pollution - particulate matt,Drinking water violations,Severe housing problems,Driving alone to work,Long commute - driving alon,Premature age-adjusted mortality,Child mortality,Infant mortality,Diabetes prevalenc,HIV prevalenc,Food insecurity,Limited access to healthy foods,Drug poisoning deaths,Motor vehicle crash deaths,Uninsured adults,Uninsured children,Health care costs,Other primary care providers,Could not see doctor due to cost,Median household incom,Children eligible for free lunch,Homicides,Population,% below 18 years of ag,% 65 and old,% Non-Hispanic African American,% American Indian and Alaskan Nati,% Asian,% Native Hawaiian/Other Pacific Island,% Hispanic,% Non-Hispanic whit,% not proficient in English,% Females,% R,STATE_NAME,Per_Capita_Exp_ESRD,Avg_Risk_Score_ESRD,Person_Years_ESRD,Per_Capita_Exp_DIS,Avg_Risk_Score_DIS,Person_Years_DIS,Per_Capita_Exp_AGDU,Avg_Risk_Score_AGDU,Person_Years_AGDU,Per_Capita_Exp_AGND,Avg_Risk_Score_AGND,Person_Years_AGND
0,01,001,01001,AL,Autauga,8405.21,0.228,5.1,3.6,0.0908507909,0.217,0.313,7.2,0.279,0.7368382474,0.167,0.3333333333,508.0,36.499862524,0.1283670738,0.0003242425,0.0002896137,0.000126706,79.74,0.8461538462,0.6879795396,0.81,0.560371517,0.0568748283,0.196,4.1715137957,0.2962937014,13.149836077,253.64461706,73.323459108,12.92,0.0,0.1225,0.8851888668,0.42,431.9,41.162144548,8.0,0.121,181.1,0.135,0.097935304,8.2337973477,21.248509284,0.168538991,0.0371034117,9939.29,0.0001629077,0.156,51868.0,0.3834096692,4.6,55246.0,0.2539369366,0.1351410057,0.1827281613,0.0050139377,0.0113673388,0.0009412446,0.0269883792,0.7590413786,0.0047648683,0.5149694096,0.4200216232,Alabama,73035.65,0.97308,51.83,7856.41,0.86959,876.92,12754.67,0.96315,211.5,8570.56,0.99674,4127.17
1,01,003,01003,AL,Baldwin,7456.89,0.127,3.3,3.8,0.0867018161,0.206,0.25,7.6,0.252,0.7361808356,0.179,0.3028169014,357.5,44.532661526,0.1579029187,0.0007547565,0.0004653779,0.0007261941,51.36,0.8106029947,0.6610169492,0.74,0.6248922676,0.0583954667,0.208,4.4171482752,0.2924272759,11.63582997,220.66510634,74.53511183,13.13,0.0115353437,0.1409087697,0.8369491063,0.349,360.8,56.160180658,6.4,0.115,188.1,0.135,0.0546026062,15.292346658,16.56670888,0.1990493379,0.0535678234,9501.9,0.0002915005,0.144,47539.0,0.3440766551,4.3,195540.0,0.2242201084,0.1813490846,0.0937966656,0.0073744502,0.0088421806,0.0006597116,0.0457655723,0.8312161195,0.0156002957,0.5116753605,0.4227909911,Alabama,73213.71,0.96865,140.08,8363.86,0.91329,3006.25,14566.39,0.98162,702.08,8323.68,0.96519,20918.08
2,01,005,01005,AL,Barbour,8900.51,0.234,4.8,4.3,0.1187787537,0.251,0.384,5.0,0.323,0.4414539097,0.135,0.4347826087,716.9,72.873799726,0.1752843063,0.0004411603,0.0003693308,3.69331e-05,86.93,0.8571428571,0.6179401993,0.6969610778,0.4232832618,0.1004150334,0.424,5.4739856417,0.5582466314,8.4555714863,146.8885763,56.105273896,12.62,0.526365894,0.1856100104,0.8220015279,0.331,443.7,84.086609207,13.5,0.148,388.1,0.227,0.1142031572,,18.666390128,0.2283954986,0.0454621149,10413.95,0.0001107992,0.169,30981.0,0.6967792616,,27076.0,0.2111094696,0.1585906338,0.4714507313,0.0058723593,0.005244497,0.0018466539,0.0483453981,0.4633254543,0.0223085892,0.4651351751,0.677896347,Alabama,70120.03,0.96294,77.5,7840.84,0.89882,928.92,11250.12,0.90068,542.67,8739.52,1.00232,2445.17
3,01,007,01007,AL,Bibb,10729.22,0.179,4.7,5.1,0.127874369,0.259,0.373,7.6,0.332,0.3943704997,0.112,0.3103448276,371.7,50.850850851,0.1510464581,0.000265522,0.000177683,,70.85,0.8287461774,0.6172839506,0.8,0.5,0.0684977578,0.356,4.5137856924,0.3717642374,10.620878878,235.95211046,80.755591447,12.87,0.0,0.0955017301,0.8321223709,0.475,539.7,107.95956424,13.9,0.127,106.7,0.154,0.0214466099,18.932103167,25.873874329,0.1928368121,0.0420570062,10825.24,8.88415e-05,0.163,39781.0,0.5464820571,7.8,22512.0,0.2129086709,0.1428571429,0.2201492537,0.0039534471,0.0015547264,0.0013326226,0.0207000711,0.7456467662,0.0042862467,0.4599324805,0.6835260746,Alabama,88712.27,1.01826,28.17,7519.14,0.8808,626.5,14174.98,1.02704,215.58,8485.29,0.9883,1462.92
4,01,009,01009,AL,Blount,8668.52,0.242,5.9,3.9,0.0769075495,0.213,0.309,8.5,0.298,0.2550853076,0.055,0.1803278689,160.8,47.239216294,0.1829576008,0.0002939854,0.0001900746,5.18385e-05,84.79,0.8612244898,0.5989583333,0.8512195122,0.4919427346,0.0560708424,0.266,3.9837506136,0.2762988407,8.6466295438,219.03434424,91.915284746,12.66,0.0,0.1183488428,0.8333038087,0.584,430.5,49.822064057,6.3,0.132,92.8,0.118,0.0106246765,18.298215799,25.56737002,0.2334516902,0.0587706562,10280.81,6.91181e-05,0.173,44392.0,0.442297967,4.3,57872.0,0.238422726,0.1640862593,0.0163809787,0.0060478297,0.0027820017,0.0011231684,0.0871060271,0.8783349461,0.0232256631,0.5055294443,0.8995150204,Alabama,60631.31,0.9738,25.5,7563.59,0.89303,1033.5,16400.58,1.02035,380.17,9015.34,1.01575,4215.25
5,01,011,01011,AL,Bullock,10743.52,0.23,4.2,,0.1363251482,0.378,0.432,3.8,0.328,0.2343778633,,0.4166666667,964.3,84.596967279,0.1755190078,0.000381898,0.0001879876,9.39938e-05,68.39,0.7711442786,0.5168539326,0.725,0.357209592,0.1199082042,0.442,5.2633408919,0.6240796882,11.456940997,283.35085234,85.390755523,12.75,0.154976405,0.1343085106,0.8253177174,0.468,498.5,127.07825903,,0.176,409.1,0.241,0.2015173014,,54.191945226,0.2320610687,0.0411433521,9975.59,0.0005639628,0.167,25937.0,0.8599871548,,10639.0,0.2102641226,0.1461603534,0.6887865401,0.0078954789,0.0027258201,0.0077074913,0.0779208572,0.2221073409,0.0369524188,0.4517341855,0.5137438153,Alabama,65015.89,0.91115,19.42,5815.12,0.75138,276.42,14504.77,0.95075,189.75,7997.83,0.96537,556.08
6,01,013,01013,AL,Butler,10357.46,0.199,3.9,3.5,0.1080375783,0.305,0.384,6.0,0.373,0.5006922232,0.109,0.2173913043,738.7,63.341425734,0.1660176143,0.0003447087,0.0002467308,0.0001480385,116.92,0.860619469,0.6026785714,0.66,0.4436386241,0.0931466637,0.398,5.1004804169,0.5120901639,11.818584724,483.03787782,82.915541843,12.82,0.5026643651,0.1779975278,0.8820560499,0.329,528.1,50.748540979,,0.161,219.8,0.221,0.0283202911,8.9390699242,21.316243665,0.2160013252,0.0369447904,11377.53,0.0003454231,0.185,31041.0,0.6935243211,8.2,20265.0,0.2333580064,0.1774981495,0.4328151986,0.0035529238,0.0095731557,0.0004934616,0.0121885023,0.535356526,0.0023794744,0.5343202566,0.7123215735,Alabama,59724.7,0.97857,43.42,8014.43,0.89794,764.0,14458.49,0.90049,422.58,8923.0,1.04994,1878.17
7,01,015,01015,AL,Calhoun,10538.61,0.227,5.2,5.1,0.0868879913,0.244,0.315,6.4,0.332,0.5676803967,0.116,0.2253521127,684.6,49.328449328,0.1529282268,0.000639408,0.0005225466,0.0008480674,84.63,0.8055433348,0.5700660308,0.8182404795,0.5131723005,0.0726640159,0.287,5.1644956471,0.395983327,14.749011049,504.5156397,77.888756529,12.89,0.0,0.145127926,0.8563223528,0.28,527.2,77.942322681,8.3,0.132,185.4,0.172,0.1004382389,12.059919527,17.541701131,0.1965109736,0.036874228,11404.65,0.0003426535,0.184,37898.0,0.5299061873,12.0,116736.0,0.2221337034,0.1554704633,0.2065515351,0.0050455729,0.0083350466,0.0009251645,0.0348307292,0.7314196135,0.0083489952,0.5168585526,0.3369682556,Alabama,74364.1,1.00681,178.42,8899.46,0.93085,3993.83,14401.48,0.99769,1214.17,8837.65,1.03469,12334.08
8,01,017,01017,AL,Chambers,11863.82,0.385,5.0,4.3,0.1188083274,0.241,0.397,5.7,0.353,0.628233231,,0.2978723404,871.9,59.728046766,0.1604256996,0.0004109911,0.0002341783,,66.66,0.856812933,0.6228813559,0.7586079545,0.4765873989,0.0726117233,0.347,5.2797452625,0.5476030616,18.494598403,553.4591195,78.28703298,12.97,0.0,0.171460177,0.8654334709,0.343,567.2,58.84083554,8.7,0.157,318.2,0.205,0.0882152491,9.9602833701,28.220802882,0.2047975866,0.0385802469,8948.13,8.78169e-05,0.225,33883.0,0.6612193589,9.7,34162.0,0.2143609859,0.1783853404,0.3877407646,0.0021954218,0.0067911715,0.0006439904,0.0196417072,0.5738247175,0.0031421105,0.5204027867,0.4914803449,Alabama,65131.41,0.93574,72.17,7120.38,0.91748,1514.17,10607.62,0.95929,655.17,7719.29,1.03692,3478.0
9,01,019,01019,AL,Cherokee,10513.33,0.242,6.1,5.2,0.0894704808,0.244,0.303,7.9,0.298,0.3287929509,0.149,0.2619047619,192.2,51.558517938,0.1665469177,0.0002690135,0.0001526543,0.0001908178,87.44,0.9171374765,0.6101694915,0.74,0.5347947112,0.0572074422,0.316,5.0950101146,0.3147266146,9.2233196265,374.36913052,82.589130653,12.93,0.0,0.1155516942,0.828296146,0.429,499.1,63.627687134,,0.137,119.8,0.148,0.0013268638,16.613503456,24.366471735,0.209151168,0.0446380935,10850.5,0.0001144907,0.171,37478.0,0.5338879374,,26203.0,0.2070373621,0.2008930275,0.0448803572,0.0053047361,0.0024424684,0.000267145,0.0153417548,0.9182536351,0.0013386338,0.5036446208,0.8573627304,Alabama,61377.98,0.92974,46.67,7666.77,0.91842,1030.83,14237.89,0.94678,355.42,9157.94,1.04097,2752.08
