,State FIPS Code,County FIPS Code,5-digit FIPS Code,State Abbreviation,County_Name,Premature death,Poor or fair health,Poor physical health days,Poor mental health days,Low birthweight,Adult smoking,Adult obesity,Food environment index,Physical inactivity,Access to exercise opportunities,Excessive drinking,Alcohol-impaired driving deaths,Sexually transmitted infections,Teen births,Uninsured,Primary care physicians,Dentists,Mental health providers,Preventable hospital stays,Mammography screening,Flu vaccinations,High school completion,Some college,Unemployment,Children in poverty,Income inequality,Children in single-parent households,Social associations,Violent crime,Injury deaths,Air pollution - particulate matter,Drinking water violations,Severe housing problems,Driving alone to work,Long commute - driving alone,COVID-19 age-adjusted mortality,Life expectancy,Premature age-adjusted mortality,Child mortality,Infant mortality,Frequent physical distress,Frequent mental distress,Diabetes prevalence,HIV prevalence,Food insecurity,Limited access to healthy foods,Drug overdose deaths,Motor vehicle crash deaths,Insufficient sleep,Uninsured adults,Uninsured children,Other primary care providers,High school graduation,Disconnected youth,Reading scores,Math scores,School segregation,School funding adequacy,Gender pay gap,Median household income,Children eligible for free or reduced price lunch,Residential segregation - Black/white,Residential segregation - non-white/white,Childcare cost burden,Childcare centers,Homicides,Suicides,Firearm fatalities,Juvenile arrests,Traffic volume,Homeownership,Severe housing cost burden,Broadband access,Population,% below 18 years of age,% 65 and older,% non-Hispanic Black,% American Indian & Alaska Native,% Asian,% Native Hawaiian/Other Pacific Islander,% Hispanic,% non-Hispanic white,% not proficient in English,% female,% rural,State_Name,Per_Capita_Exp_ESRD,Avg_Risk_Score_ESRD,Person_Years_ESRD,Per_Capita_Exp_DIS,Avg_Risk_Score_DIS,Person_Years_DIS,Per_Capita_Exp_AGDU,Avg_Risk_Score_AGDU,Person_Years_AGDU,Per_Capita_Exp_AGND,Avg_Risk_Score_AGND,Person_Years_AGND
0,01,001,01001,AL,Autauga,8027.3947267,0.201,4.5100424038,5.4190677155,0.0973815192,0.197,0.353,6.5,0.322,0.6275860805,0.1616123561,0.3214285714,578.1,22.976945691,0.0935123905,0.0004474753,0.0003384095,0.0003740315,4931.0,0.42,0.42,0.8871368199,0.607217355,0.0488427897,0.149,5.1354458777,0.2760404778,12.88728991,272.28222006,68.573069812,9.5,0.0,0.1472886574,0.8670888613,0.405,82.012892726,76.585649727,427.07332591,51.496252217,6.8775790922,0.142,0.171,0.112,222.1,0.157,0.1302099797,8.3524744205,19.009599848,0.3844333214,0.1196066271,0.0265310635,0.0004452756,0.89,,3.12696818,2.91727955,0.05526245,-2618.608,0.7220387679,67565.0,0.4548245614,28.204319441,24.907957471,0.1752682602,4.6367851623,5.9083891419,17.7372965,17.592044088,8.064516129,155.09552349,0.7462312723,0.1383276945,0.8270791781,56145.0,0.2318461127,0.1617597293,0.2031881735,0.0047377327,0.0117018434,0.0010864725,0.0310089946,0.731659097,0.0069269521,0.5150770327,0.4200216232,Alabama,65037.23,0.96432,33.58,8366.2,0.91364,498.33,20447.27,0.91945,102.67,9951.78,1.02646,2882.17
1,01,003,01003,AL,Baldwin,8118.3582061,0.172,4.168866136,5.173915124,0.0838573118,0.199,0.296,7.4,0.276,0.745079966,0.2150352994,0.3220338983,336.0,23.734320007,0.109067738,0.0006898591,0.0004884708,0.0009943869,3578.0,0.44,0.46,0.9047138458,0.6553210756,0.0560648182,0.124,4.3864778271,0.1836382244,10.123905857,203.66039629,74.835078875,7.2,0.0,0.1242050369,0.8299656018,0.379,50.0227993,77.724729177,381.70203137,51.169783452,5.2730696798,0.125,0.161,0.094,172.9,0.134,0.0793677936,17.5976783,16.849943232,0.3637796048,0.137782924,0.0340819821,0.0006978154,0.9,0.0611230259,3.192380762,3.037911538,0.0901750956,333.9424,0.7474647914,71135.0,0.4613228529,39.841299769,28.948138935,0.1711674984,5.5183946488,3.2763778506,19.645883007,14.014402776,25.892857143,133.60484222,0.7699977394,0.1145081422,0.850690685,229287.0,0.2112854196,0.2158212197,0.0847889326,0.0077980871,0.0110298447,0.0006629246,0.046339304,0.8330825559,0.0077206791,0.5158905651,0.4227909911,Alabama,76910.44,0.99813,101.42,9461.95,0.90255,1709.25,19981.29,0.95975,464.33,10301.61,1.0003,18171.75
2,01,005,01005,AL,Barbour,12876.760319,0.311,5.8844146337,6.1098993294,0.1191467222,0.278,0.404,5.7,0.416,0.498379284,0.1392764247,0.375,895.2,34.700315457,0.1299147324,0.0003645791,0.0003660173,0.0002440115,4548.0,0.46,0.36,0.7473169635,0.3835575486,0.0704553395,0.375,5.9949269327,0.5404059747,7.2915822734,414.27786068,82.143056519,9.0,0.0,0.1545998911,0.840327294,0.368,110.28157296,72.867210115,589.56609455,82.704937971,,0.191,0.205,0.165,498.2,0.207,0.1043317167,,27.969367948,0.408895893,0.1684114324,0.0355892649,0.0006100289,0.8482600733,,2.389161313,2.00862944,0.0370072178,-15097.365,0.7294148923,38866.0,0.6020615337,20.436170424,19.350653278,0.2431688365,6.006006006,11.187747179,14.267052362,25.520172899,23.75,102.45967278,0.6195022527,0.1238553651,0.6463205321,24589.0,0.2047256903,0.2026109236,0.4780999634,0.0069949978,0.0045548823,0.0020334296,0.0467282118,0.452641425,0.0182746687,0.4718370003,0.677896347,Alabama,69351.79,0.95766,40.67,11938.99,0.98527,337.58,15417.49,0.91376,194.25,9569.0,0.98952,1461.42
3,01,007,01007,AL,Bibb,11191.474323,0.25,5.161337369,5.8460957209,0.1003307607,0.252,0.412,7.6,0.377,0.1060440759,0.1601675952,0.2142857143,540.3,34.166872988,0.1099324976,0.0005805126,0.0002710517,0.0002710517,6329.0,0.37,0.33,0.8088446863,0.3777040897,0.0663194444,0.219,5.3940513578,0.3670411985,8.930963651,89.349125982,103.34904358,9.4,0.0,0.1118421053,0.8765264586,0.553,147.48670296,73.609363092,567.50814595,82.232333754,,0.164,0.191,0.127,208.4,0.163,0.0044586621,23.905572987,26.05987415,0.4011005848,0.1389869469,0.0308721934,0.001445609,0.92,,2.688775131,2.56336673,0.0920696582,-4279.571,0.7850586656,50907.0,0.5914276904,47.815633032,45.908037304,0.2140570059,3.9904229848,9.5341002987,17.42273562,17.818800617,,26.588748145,0.7477613996,0.0939306358,0.7612618818,22136.0,0.1999457897,0.1707625587,0.2097940007,0.0046078786,0.002574991,0.0012197326,0.0293187568,0.741778099,0.0035509682,0.4681514275,0.6835260746,Alabama,103539.35,1.11953,18.58,8945.96,0.86691,302.92,15326.91,0.97027,145.83,10055.76,1.08619,941.0
4,01,009,01009,AL,Blount,10787.014541,0.232,4.9483926568,5.7382383487,0.0785988894,0.222,0.387,7.8,0.333,0.23376714,0.1617350466,0.1505376344,404.7,29.509795952,0.1427102744,0.0002248124,0.0001900517,0.0001727742,4260.0,0.37,0.4,0.8282513689,0.5626659014,0.0408742549,0.189,4.7649692755,0.2255841821,7.4361014077,482.69061089,104.7493276,9.4,0.0,0.1046116505,0.8834157978,0.598,117.45856225,74.1714626,532.83648174,71.173044146,6.7215958369,0.156,0.183,0.114,72.3,0.145,0.0251220602,17.862802155,30.643463304,0.3884710906,0.1806290505,0.0467602356,0.0002591614,0.9541150442,0.1367632693,2.901714404,2.781496533,0.1084336851,-574.207,0.8535882835,55203.0,0.5240126901,52.211712535,30.143480312,0.2185569625,4.5649072753,7.166616418,20.517061307,20.396733757,6.4516129032,43.309561964,0.7607639708,0.0877586383,0.7962273049,57879.0,0.2280274365,0.1900343821,0.0152732425,0.0062889822,0.0038010332,0.0012094197,0.0954404879,0.8679832063,0.014764977,0.5055719691,0.8995150204,Alabama,69621.7,0.97782,20.75,9324.11,0.89179,501.75,15045.31,0.89998,190.67,10549.07,1.07827,2837.42
5,01,011,01011,AL,Bullock,11406.351094,0.311,5.5124304874,5.6940702734,0.1506228766,0.252,0.438,4.6,0.413,0.0187832142,0.1344554277,0.347826087,742.5,40.344271114,0.11099631,0.0002970003,0.0002004812,0.0002004812,3775.0,0.41,0.28,0.7494103774,0.2808249232,0.0550020756,0.387,8.1070646221,0.5885209713,7.92000792,311.0273327,98.258853123,9.0,0.0,0.1731301939,0.8047678795,0.471,159.52578866,73.81468226,556.11029653,,,0.18,0.189,0.178,608.4,0.157,0.3233919039,,49.760871368,0.4465271376,0.1475752508,0.0238208671,0.0009021652,0.925,,2.110535605,1.96826778,0.0081406272,-19216.87,0.6832526011,33124.0,0.7546264565,30.615538822,27.517585973,0.3575051322,8.4175084175,15.204710696,,25.547301812,12.222222222,40.415459174,0.7381160688,0.1275964392,0.6062992126,9976.0,0.2081996792,0.1767241379,0.6868484362,0.0088211708,0.0027064956,0.0076182839,0.088712911,0.2109061748,0.0156592546,0.4525862069,0.5137438153,Alabama,90720.44,0.87508,17.58,7808.53,0.85856,102.75,15019.14,0.74807,91.75,9795.63,0.97727,300.33
6,01,013,01013,AL,Butler,12717.030159,0.271,5.3398672065,5.9515484185,0.1282853567,0.246,0.397,6.9,0.407,0.4163842078,0.1355700813,0.3518518519,1064.4,38.782523319,0.115727003,0.0002570958,0.0003589007,0.0006665299,5885.0,0.39,0.28,0.8635311143,0.3712137038,0.0884496466,0.308,5.7044203696,0.4110429448,9.2554504319,581.58400519,105.63201463,8.8,0.0,0.1251862891,0.8636939448,0.371,170.78498706,73.473279047,606.51274825,80.178683924,,0.173,0.196,0.151,396.2,0.165,0.0691828694,,38.155573953,0.4197116999,0.1466570162,0.0336715867,0.0008203445,0.925,,2.526134007,2.118341767,0.1126745388,-10514.71,0.8178666878,42268.0,0.7984417344,28.890456821,29.892479149,0.2801646636,4.3066322136,19.437745222,13.633567924,26.408003656,,58.023786999,0.7327417657,0.1083184693,0.7360505339,19504.0,0.2205701395,0.2138535685,0.4460110747,0.0039479081,0.0136382281,0.0004101723,0.0165607055,0.509792863,0.0031780232,0.5342493847,0.7123215735,Alabama,73970.85,1.03778,26.42,9437.17,0.89354,353.58,15623.61,0.91883,225.5,10389.5,1.0897,1226.5
7,01,015,01015,AL,Calhoun,11826.11499,0.237,4.9393331139,5.7384222945,0.094372108,0.226,0.359,5.9,0.326,0.4915747394,0.1617061711,0.1428571429,729.7,30.487338383,0.1190381426,0.0006161701,0.0006785994,0.0014188897,5234.0,0.35,0.39,0.8507351172,0.5797626092,0.0705017301,0.167,4.7555305953,0.3098093418,13.379692795,756.06654427,92.519581559,9.4,0.0,0.1295658932,0.8459101565,0.299,118.89342555,72.825007074,587.11909177,57.897409853,7.9311885612,0.157,0.191,0.127,272.0,0.172,0.15398073,19.334936766,21.938954858,0.3826870475,0.1514969701,0.0297716313,0.0007050384,0.932304,0.0692913386,2.945480411,2.786958409,0.2098309829,-4322.30736,0.7779538205,50259.0,0.5995933779,46.158513645,41.353138141,0.1880459221,4.9534674272,10.346211666,21.549051976,26.108745554,31.739130435,170.81422572,0.7038050794,0.0973958823,0.7976532352,113469.0,0.2140055874,0.1853369643,0.2119433502,0.0052701619,0.0088306057,0.0011192484,0.0411389895,0.713957116,0.0070033995,0.5191021336,0.3369682556,Alabama,73760.23,0.99752,112.58,9537.78,0.88991,2001.08,15577.53,0.96292,613.17,10483.16,1.10635,8816.67
8,01,017,01017,AL,Chambers,11059.443876,0.253,5.109041175,5.8121735023,0.1265306122,0.236,0.395,7.0,0.369,0.567295046,0.1419632837,0.3,721.7,37.354951518,0.1216412769,0.0004510736,0.0002129925,3.04275e-05,4068.0,0.37,0.43,0.8258382062,0.5436427851,0.0679483139,0.262,4.4609294674,0.3178607467,18.042942202,528.99973623,101.02217706,9.3,0.0,0.1513133555,0.8741805879,0.307,147.43461869,73.761104989,530.58104964,86.399308806,9.0634441088,0.163,0.19,0.139,407.0,0.154,0.0810298845,10.026670945,25.054248818,0.4051051084,0.1542930591,0.0278014184,0.0001521375,0.8700680272,0.1266375546,2.634106621,2.497681651,0.1647682154,-13302.8415,0.7525638024,39318.0,0.7098375451,33.289043441,32.819479794,0.3280431355,6.0483870968,10.616207126,26.661577773,26.899396258,26.129032258,114.66751279,0.672434104,0.0979982997,0.7452510676,32865.0,0.2052943861,0.2059333638,0.3995435874,0.0034991632,0.0114711699,0.0005781226,0.0278411684,0.5478472539,0.0035301975,0.5233531112,0.4914803449,Alabama,65474.79,0.93337,51.92,8745.7,0.89381,651.58,13958.53,0.9028,322.0,10067.45,1.10058,2024.92
9,01,019,01019,AL,Cherokee,11395.898384,0.237,5.1899400425,6.0469633949,0.0829238329,0.247,0.343,7.2,0.36,0.246527377,0.1639801671,0.1777777778,274.9,32.86565443,0.1298178525,0.0003817377,0.000152126,0.0002281889,5476.0,0.4,0.49,0.8282400878,0.532718894,0.0460349171,0.233,4.4754098361,0.2044453344,8.3982287372,330.43879198,98.382832196,9.2,1.0,0.1098538425,0.8598863414,0.464,76.724384159,74.014400904,543.28650871,65.343051018,,0.164,0.198,0.114,118.6,0.161,0.0500865225,17.82939813,31.868131868,0.3786397167,0.160482313,0.0367789392,0.0007606298,0.92,,2.784754319,2.646747671,0.0672417485,521.2178,0.7736446379,50388.0,0.6109828073,41.992950227,41.137449973,0.1699214099,6.2056737589,8.2417582418,22.913019325,25.364323925,15.0,1.0239642567,0.7822997416,0.0650170307,0.749907715,26294.0,0.1848710732,0.2427169697,0.0411120408,0.0070738572,0.0047159048,0.0003042519,0.0183311782,0.9145052103,0.0110410728,0.5043736214,0.8573627304,Alabama,84080.27,1.13345,33.92,8763.02,0.86598,586.67,14286.57,0.92636,262.33,10081.48,1.06214,2152.67
